leg_no,fn_number,dep_ap_sched,arr_ap_sched,dep_sched,arr_sched,m_offblockdt,m_onblockdt,departure_delay,arrival_delay,sched_flight_time,act_flight_time,ac_registration,change_reason_code,ac_type_code,trans_time,sched_trans_time,trans_time_delay,crew_group,crew_type_change,sched_ground_time,ground_time_delay,act_ground_time,catering_duration,pax_boarding_duration,flight_time_delay,dep_inbound_weekday,arr_weekday,dep_time_of_day,arr_time_of_day,anzahl_personal
272005011,EC3098,North Gregory,East Carmen,2019-06-01 00:40:00,2019-06-01 04:30:00,2019-06-01 00:43:00,2019-06-01 04:12:00,3.0,-18.0,230.0,209.0,ECLBSX,other problem,320,0,0,0,Start,[],235.0,33.0,268.0,,,-21.0,Saturday,Saturday,Night,Night,6
272009188,EC3146,Port Bobby,East Carmen,2019-06-01 02:05:00,2019-06-01 04:00:00,2019-06-01 01:58:00,2019-06-01 03:40:00,-7.0,-20.0,115.0,102.0,ECLWHX,no reason,E95,0,0,0,Start,[],130.0,59.0,189.0,,,-13.0,Saturday,Saturday,Night,Night,5
271984537,EC2840,Port Ryan,East Carmen,2019-06-01 02:20:00,2019-06-01 03:50:00,2019-06-01 02:24:00,2019-06-01 03:57:00,4.0,7.0,90.0,93.0,ECLGLX,other problem,DH4,0,0,0,Start,[],185.0,11.0,196.0,,,3.0,Saturday,Saturday,Night,Night,4
272025831,EC3306,Coleland,East Carmen,2019-06-01 02:25:00,2019-06-01 04:00:00,2019-06-01 02:28:00,2019-06-01 03:49:00,3.0,-11.0,95.0,81.0,ECLBMX,other problem,320,0,0,0,Start,[],145.0,30.0,175.0,,,-14.0,Saturday,Saturday,Night,Night,6
272006092,EC3114,East Melissaberg,East Carmen,2019-06-01 02:30:00,2019-06-01 04:15:00,2019-06-01 03:02:00,2019-06-01 04:43:00,32.0,28.0,105.0,101.0,ECLGNX,other problem,DH4,0,0,0,Start,[],35.0,-14.0,21.0,26.0,26.0,-4.0,Saturday,Saturday,Night,Night,4
272016704,EC3226,Lisamouth,East Carmen,2019-06-01 03:00:00,2019-06-01 04:40:00,2019-06-01 03:04:00,2019-06-01 04:49:00,4.0,9.0,100.0,105.0,ECLGFX,other problem,DH4,0,0,0,Start,[],385.0,8.0,393.0,,,5.0,Saturday,Saturday,Night,Night,4
272096998,EC4469,East Carmen,Richardsonburgh,2019-06-01 03:00:00,2019-06-01 05:35:00,2019-06-01 03:18:00,2019-06-01 05:44:00,18.0,9.0,155.0,146.0,ECLBWX,other problem,320,0,0,0,Start,[],40.0,10.0,50.0,,,-9.0,Saturday,Saturday,Night,Morning Peak,6
272027070,EC3316,East Latashaview,East Carmen,2019-06-01 03:15:00,2019-06-01 07:05:00,2019-06-01 03:30:00,2019-06-01 07:07:00,15.0,2.0,230.0,217.0,ECLBIX,other problem,320,0,0,0,Start,[],45.0,16.0,61.0,27.0,15.0,-13.0,Saturday,Saturday,Night,Morning Peak,7
272101830,EC11627,East Carmen,Michaelfurt,2019-06-01 03:15:00,2019-06-01 05:05:00,2019-06-01 03:28:00,2019-06-01 05:14:00,13.0,9.0,110.0,106.0,ECLBXX,other problem,320,0,0,0,Start,[],50.0,22.0,72.0,,,-4.0,Saturday,Saturday,Night,Morning Peak,6
272024970,EC3292,New Jessica,East Carmen,2019-06-01 03:25:00,2019-06-01 06:45:00,2019-06-01 03:50:00,2019-06-01 07:01:00,25.0,16.0,200.0,191.0,ECLBAX,other problem,320,0,0,0,Start,[],95.0,-1.0,94.0,27.0,25.0,-9.0,Saturday,Saturday,Night,Morning Peak,6
